name,iso_a3,currency_code,local_price,dollar_ex,GDP_dollar,GDP_local,date,us_local_price,big_mac_ex,over_under_value
Taiwan,TWN,TWD,75.0,31.175,14040.6,483266.82,2005-06-01,2.58,29.069767441860463,-0.0675295126909234
Ukraine,UKR,UAH,7.25,5.06,1055.95,5631.03,2005-06-01,2.58,2.810077519379845,-0.4446487115850108
Uruguay,URY,UYU,44.0,24.125,3941.68,111042.32,2005-06-01,2.58,17.05426356589147,-0.29308752058480947
United States,USA,USD,2.58,1.0,39405.35,39405.35,2005-06-01,2.58,1.0,0.0
Venezuela,VEN,VEF,5600.0,2629.62,3266.1,,2005-06-01,2.58,2170.5426356589146,-0.1745793553217139
South Africa,ZAF,ZAR,13.95,6.6482,4209.22,31842.05,2005-06-01,2.58,5.406976744186046,-0.18670064917029477
Argentina,ARG,ARS,4.75,3.0638,4314.1,12690.7,2006-01-01,2.67,1.7790262172284645,-0.41933996434869625
Australia,AUS,AUD,3.25,1.3308,32852.83,44601.91,2006-01-01,2.67,1.2172284644194757,-0.08534079920388056
Brazil,BRA,BRL,6.2,2.2615,3750.13,10969.57,2006-01-01,2.67,2.322097378277154,0.026795214803074976
Canada,CAN,CAD,3.52,1.1704,32176.59,41870.81,2006-01-01,2.67,1.3183520599250937,0.1264115344541128
Switzerland,CHE,CHF,6.3,1.2776,54772.69,68109.61,2006-01-01,2.67,2.359550561797753,0.846861742171065
Chile,CHL,CLP,1560.0,522.75,6183.91,3769271.11,2006-01-01,2.67,584.2696629213483,0.11768467321157015
China,CHN,CNY,10.5,8.0641,1499.71,12413.12,2006-01-01,2.67,3.9325842696629216,-0.5123343870161677
Czech Republic,CZE,CZK,62.0,23.8375,11751.9,302020.81,2006-01-01,2.67,23.220973782771537,-0.025863711262861515
Denmark,DNK,DKK,27.75,6.1769,46571.28,279011.2,2006-01-01,2.67,10.393258426966293,0.6826010501977194
Egypt,EGY,EGP,9.25,5.74,1195.6,7363.37,2006-01-01,2.67,3.464419475655431,-0.39644260006002946
Euro area,EUZ,EUR,2.91,0.82815735,32391.7375038093,26052.2509028899,2006-01-01,2.67,1.0898876404494382,0.3160393256781917
Britain,GBR,GBP,1.88,0.566925563,40434.58,22075.4,2006-01-01,2.67,0.7041198501872659,0.24199700303030064
Hong Kong,HKG,HKD,12.0,7.7512,24873.9,193734.5,2006-01-01,2.67,4.49438202247191,-0.42016951923935514
Hungary,HUN,HUF,560.0,206.956,10291.67,2086592.67,2006-01-01,2.67,209.73782771535582,0.013441638393454799
Indonesia,IDN,IDR,14600.0,9460.0,1280.7,11439233.97,2006-01-01,2.67,5468.164794007491,-0.42196989492521236
Japan,JPN,JPY,250.0,114.305,38307.1,4144543.92,2006-01-01,2.67,93.63295880149813,-0.18084984207604105
South Korea,KOR,KRW,2500.0,977.45,16482.75,18893338.35,2006-01-01,2.67,936.3295880149813,-0.04206906950229555
Mexico,MEX,MXN,28.0,10.5425,7858.83,88694.48,2006-01-01,2.67,10.486891385767791,-0.005274708487759964
Malaysia,MYS,MYR,5.5,3.7488,5244.87,19930.52,2006-01-01,2.67,2.059925093632959,-0.4505108051555274
New Zealand,NZL,NZD,4.45,1.4467,24849.12,37422.9,2006-01-01,2.67,1.6666666666666667,0.15204718785281443
Peru,PER,PEN,9.5,3.446,2408.09,8218.92,2006-01-01,2.67,3.558052434456929,0.03251666699272458
Philippines,PHL,PHP,82.0,52.58,1137.07,63721.17,2006-01-01,2.67,30.711610486891388,-0.4159069895988705
Poland,POL,PLN,6.5,3.1151,6684.68,24432.49,2006-01-01,2.67,2.4344569288389515,-0.2184979843860706
